Company Name,Job Posting Time,Number of Applicants,Seniority Level,Company Industry,Detail description,Employment Type,Job Function,Size of Employee,Keyword
Pt Star Cosmos,2 weeks ago,<25,Entry level,Information Services,"Data Analyst (Improvement Officer)  Kandidat harus memiliki setidaknya Gelar Sarjana di Teknik (Industri), Teknik (Komputer/Telekomunikasi), Ilmu Komputer/Teknologi Informasi, Bisnis/Administrasi/Manajemen atau setara  ""Waspada terhadap Modus Penipuan pada saat proses interview. Perusahaan tidak akan memungut biaya apapun dalam melakukan proses interview. Mohon segera melaporkan ke kami, jika pada saat Anda diundang untuk interview dan diminta untuk melakukan pembayaran dengan sejumlah uang.""  ""Please be aware of the Fraud Company. The company will never be collecting any payment in the process of interview. Please immediately report to us if there's any companies that collecting payment to the Jobseekers.""  Show more",Full-time,Information Technology,,Data Analyst
99.co,2 months ago,29,Director,Real Estate,"We are looking for a Business Intelligence Analyst to join our diverse team of people who are passionate about taking the real estate industry into the age of technology through innovation and a desire to solve its multitude of challenges. What you’ll do: Develop and manage BI solutions. Consulting & collaborate with management and relevant stakeholders to define goals. Validate the data source before use by the Data Analyst. Researching, developing, and implementing data-gathering methods. Analyzing and synthesizing data. Reporting back on your findings and suggesting solutions. Collaborating with coworkers and management to implement improvements. Evaluating the effectiveness of implemented strategies. Create and maintain documentation including requirements, design, and user manuals. Requirements: Has min 3-7 years experience in data analysis and/ or BI analysis. Bachelor's Degree in Computer Science, Statistics, Business Studies, or related field. Firm understanding of analytical tools, namely Google Data Studio, Tableau, Holistics, and Power BI. Knowing about SQL is a plus. Excellent skill in excel formula and pivot table. Strong in data visualization. Excellent analytical and problem-solving skills. Excellent communication, interpersonal, and presentation skills. Ability to work in a fast-paced, deadline-driven, and independent environment. Collaborative mindset. We apologize in advance - we may only be able to get back to the shortlisted candidate, but we really appreciate every application. We think that is the greatest flattery we could ask for. Thank you! Show more",Full-time,Information Technology,,Data Analyst
PT JAC Indonesia,3 weeks ago,<25,Entry level,Management Consulting,"Company Description: JAC Recruitment Indonesia is an international recruitment consultancy, started in UK as a part of Tazaki Group. JAC Recruitment operates in 11 countries with 26 offices in London, Singapore, Japan, Malaysia, Indonesia, Thailand, China, Korea, Hong Kong, Vietnam and India. JAC Recruitment Indonesia started in 2002 in Jakarta, and then expanded offices in Bekasi, Karawang and Surabaya. With more than 100 consultants, we are committed for our clients and candidates satisfaction by connecting the right positions to the right people Job Description: Our client is one of Global consulting company, looking for Data Analyst/ Data Specialist.    Show more",Full-time,Information Technology,,Data Analyst
Ralali,3 weeks ago,<25,Associate,"Marketing and Advertising,Computer Software,Internet","We’re looking for top-notch talents to help us scale up our first and largest end-to-end B2B Ecosystem in Indonesia. If you’re up for fast-paced environments and ready to rejuvenate impactful energy to our ecosystem, then this will be a golden opportunity for you! In this role, you will be analyzing performance within each business unit and the entire ecosystem so that it can provide insights for the internal team in determining action or strategic items.      Show more",Full-time,"Business Development,Sales",,Data Analyst
Payfazz (PT. Payfazz Teknologi Nusantara),4 days ago,25,Associate,"Information Technology and Services,Computer Software,Internet",Job Description Ensuring all abuse/fraud/money laundry cases reported is documented and reliable for further research Analyzing data to identify and detect suspicious users (fraud/money laundry) or transactions and decide what action is to be given    Show more,Full-time,"Finance,Sales",,Data Analyst
OrderOnline.id,3 weeks ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet","Job Description Collect data source from Big Data Platform (BDP) and Main Databases for development and reporting. Develop data mart and analytic tools environment, including database structure (tables, views, stored procedure, job scheduler) - which will be used by Data Analyst.       Show more",Full-time,Information Technology,,Data Analyst
Pt. Aurora Executive Placement Consultant,1 week ago,<25,Associate,Warehousing,"Data Lead  5 years of experience as a data modeler/data warehouse engineer/ data analyst, 2 years experience in leading team  ""Waspada terhadap Modus Penipuan pada saat proses interview. Perusahaan tidak akan memungut biaya apapun dalam melakukan proses interview. Mohon segera melaporkan ke kami, jika pada saat Anda diundang untuk interview dan diminta untuk melakukan pembayaran dengan sejumlah uang. ""  ""Please be aware of the Fraud Company. The company will never be collecting any payment in the process of interview. Please immediately report to us if there's any companies that collecting payment to the Jobseekers. ""  Show more",Full-time,Information Technology,,Data Analyst
PT. Huawei Tech Investment,2 weeks ago,117,Mid-Senior level,"Consumer Electronics,Consumer Goods,Computer Games",Direct message the job poster from PT. Huawei Tech Investment XIYAN YIN Huawei Consumer BG - HRBP,Full-time,"Marketing,Advertising",,Data Analyst
Go-Jek,2 weeks ago,<25,Associate,Marketing and Advertising,"About The Role  As our Growth Analyst on the Financial Services Platform, you'll take the wheel in utilizing our voluminous data to improve acquisition, activation, retention, and loyalty for our Financial Services products. You'll drive the Growth team's analytics projects across different products, diving deep into a complex pool of data to present relevant insights, propose strategic options, and formulate data-driven business decisions with senior management. You'll also discover growth opportunities for our financial products through conducting various experimentation and test. Your work will directly enhance and streamline our financial services, and get us even closer to ensuring financial inclusion for all Indonesians.  What You Will Do  Analyze our complex and ever-growing data, present insights, and propose strategic options to senior management to drive business decisions Maintain rigor in analytical excellence in terms of data analytics, A/B test design, and appropriate statistical tests across our products Liaise with other analytical chapters within the Financial Services Platform and across Gojek (i.e. Data Science, Data Engineering, Data Governance, Risk Analytics) to ensure that initiatives are aligned and data integrity standards are adhered to Discover growth opportunities in the product - from funnel conversion rates and user experience - by exploring transaction data, customer activity within apps, and actual customer insights Drive prioritization, strategy, and focus on solutions to solve user problems Test and validate solutions through proper experimentation process  What You Will Need  A BS in Statistics, Math, Computer Science, Engineering, Economics, Business, or equivalent experience At least 1 year of working experience in an analytical role (e.g. data analyst, BI, data science, statistician); experience working in the Financial Services field will be a plus Strong project management skills to manage complex projects, and collaborate with multiple internal and external stakeholders Strong business acumen and analytical thinking abilities; comfortable translating high-level business requirements into structured, analytical steps Strong SQL skills with expertise in Excel/Python/R. Statistics/data science will be a plus Basic A/B test knowledge Strong data viz and data storytelling skills Hustle is essential; ability to move and execute tasks quickly to allow for continual iteration is a core competency of our team    The Financial Services stream at Gojek is passionate about empowering our users with the tools to be financially responsible. The Financial Services Growth team is a small team of 6 members based in Jakarta, Indonesia. We are at the center of the stream's go-to-market and strategy decisions, where we work to direct each product towards the right solutions by tackling issues through exploratory data analyses and rapid experimentation. Imagine a blend of data analysis, marketing, statistical testing, and product management - that sweet spot is where we're at. We're a team that's always willing to get our hands dirty, meaning we're responsible for analyzing, designing, and also executing. We believe that high impact comes from high accountability. If you're a data whiz who enjoys the collaborative nature of solving business problems, we'd love to have you join our family.  Show more",Full-time,"Finance,Sales",,Data Analyst
PT Solman Manunggal Informatika,3 weeks ago,<25,Associate,Information Technology and Services,"What You'll Learn Strengthen your data engineering skills- You'll learn how to write clean code by adhering to our programming best practices and guidelines- Improve on linking server-side logic with a better end-user experience-  Build a user-friendly interface- Hone your skills in data engineer , data analyst & data scienceDevelop your problem-solving skills and be a team player- You’ll have the opportunity to solve challenging problems with the other developers in the team- As you’ll be collaborating closely with designers, front-end developers and project managers to improve the user experience, you’d learn to be a better team player.Learn the latest industry trends and technologies- By working in our company, you’ll be exposed to the latest industry trends.- You’ll also get the opportunity to work with the latest technologies. Job Description Design and develop of new Datawarehouse systems and pipeline including setting up process for data flows automation from various sources Build and maintain ETL pipeline, and executing advanced SQL queries for data requests Work collaboratively with data scientist and engineering team for development and new features release Enormous sense of ownership in handling data engineering capabilities within the growing data team that drives business decisions and product development Key of advantage Applicant : Skilled in Python or Java  Solid experience in database designing, preferably in MySQL Experienced with a diverse set of data technologies. Strong in SQL and ETL skills is a mus Experienced in setting up and managing cloud services in at least one of the major cloud solutions providers. Excellent written and verbal communication, able to switch between technical and plain language when discussing work Analytical, innovative and entrepreneurial thinker Show more",Full-time,Information Technology,,Data Analyst
PT Rifan Financindo Semarang,2 weeks ago,<25,Associate,"Banking,Financial Services","Company Description: PT Rifan Financindo Semarang adalah perusahaan fasilitator multi nasional berskala internasional yang berdiri pada tahun 2000 , yang menyediakan fasilitas dalam sektor Perdagangan Berjangka Komoditi (PBK) yang telah mendapatkan izin sejak 2000 bersama dengan ASOSIASI dan BUMN (KBI), yang terdaftar resmi di Badan Pengawas Perdagangan Komoditi (BAPPEBTI) berdasarkan surat Keputusan Kepala BAPPEBTI No : 08 / BAPPEBTI / SI / XII / 2000 PT Rifan Financindo Semarang mengajak para profesional dan talenta-talenta muda yang optimis yang sedang mencari pekerjaan untuk berkarir di bidang pelayanan jasa informasi untuk menempati posisi lowongan pekerjaan yang dibuka oleh pihak perusahaan . Company Culture Whats it like working at PT Rifan Financindo Semarang? At PT Rifan Financindo Semarang, we are energetic, collaborative, passionate, innovative and fast paced. Benefits and perks of working with us include - Compensation: Bonuses Competitive salaries - Lifestyle: Company outings - Progression: Professional development - Welfare: Health insurance, Vacation time, Wellness programs Nilai-nilai WHELOCK (work hard – play hard, hard training, eagerness, loyalty, openesss, clarity, & kinship) yang menjadi dasar bagi Rifan Financindo Way. WHELOCK menjadi sebuah konsep nilai yang di susun dengan tujuan untuk memberikan pedoman bagi setiap individu dalam berkarya dan bekerja di Rifan Financindo Semarang, Pedoman Nilai WHELOCK ini adalah identitas yang membangun karakter organisasi perusahaan termasuk setiap individu di dalamnya. Dalam upaya mengembangkan perusahaan, Rifan Financindo Semarang meyakini bahwa setiap individu dalam organisasi perusahaan adalah sumber daya yang paling utama. Jl S.Parman No.47a , Ruko S.Parman Corner unit 5-6 Gajahmungkur, (PT Rifan Group Semarang - Seberang Hotel Neo and Superindo Gahajmungkur, Semarang-Jawa Tengah) Kode Pos 50231 Job Description: Show more",Full-time,Information Technology,,Data Analyst
OrderOnline.id,3 weeks ago,<25,Entry level,"Marketing and Advertising,Online Media,Internet",Job Description  & requirements  Job Description       Big Data Tableau MongoDB MySQL Databases Show more,Full-time,Information Technology,,Data Analyst
Map Boga Adiperkasa,4 weeks ago,<25,Associate,Retail,"General Requirements Bachelor Degree or higher in Accounting Experience in business process of financial and development Familiar with SAP system     Should you meet the above requirements, please kindly send your resume (put the job title on the subject) and latest photograph in 2 (two) weeks time to      Show more",Full-time,"Business Development,Sales",,Data Analyst
Pt Importa Jaya Abadi,1 week ago,<25,Entry level,Consumer Goods,"The Product Innovation Analyst responsibilities include working closely with different departments within the company, analyzing product data to make product recommendations,and compiling product data. You should be able to study products on the market in order to create a better product.  To be successful as a Product Innovation Analyst, you should be able to monitor product performance on the market to meet or exceed sales forecasts. A top-performing Product Innovation Analyst is able to ensure that product costs remain within company budgets.    ""Waspada terhadap Modus Penipuan pada saat proses interview. Perusahaan tidak akan memungut biaya apapun dalam melakukan proses interview. Mohon segera melaporkan ke kami, jika pada saat Anda diundang untuk interview dan diminta untuk melakukan pembayaran dengan sejumlah uang.""  ""Please be aware of the Fraud Company. The company will never be collecting any payment in the process of interview. Please immediately report to us if there's any companies that collecting payment to the Jobseekers.""  Show more",Full-time,Other,,Data Analyst
Jobs MNC,4 months ago,43,Entry level,"Marketing and Advertising,Information Technology and Services,Computer Software",Requirements Bachelor’s degree in Computer Engineering/Computer Science or related field. 1 year of experience in the same field (data analyst / business intelligence) Show more,Contract,Information Technology,,Data Analyst
Agate,4 weeks ago,<25,Entry level,"Information Technology and Services,Computer Software,Computer Games","Important Note: If the “Apply Now” button is not working, please directly apply to: s.agate.id/career  Responsibilities: Analyze and interpret all complex data on all target systems and provide resolutions to all data issues      Show more",Full-time,Information Technology,,Data Analyst
Finaccel,1 week ago,<25,Associate,Hospitality,"Responsibilities  The roles and responsibilities include the following (but not limited to)  The Business Analyst (Operations) analyzes customer-related data to aid business in credit approval monitoring, customer issue monitoring, staff KPI monitoring and customer behavior analysis to identify insights that can improve business processes, systems and process efficiency.  Tracking and reporting customer service and credit approval staff performance.  Daily monitoring and review of operational KPIs.  Generate additional insights by analyzing customer issues.  Work closely with internal teams and vendors to codify insights into business processes Bachelor’s Degree with GPA minimum 3.0, preferably in quantitative subject (i.e. Computer Science, Engineering, Economics, or Mathematics).  Minimum 2 years’ experience as Data Analyst or Business analyst in financial sector preferably.  Excellent analytical skills. You need to be comfortable with data – Analyze it, question its validity, interpret it, and develop recommendations based on it.  Working knowledge of SQL and proficiency in Excel are required.  Comfortable working in a dynamic and fast-paced environment.  Conversational ability in English is required.  Show more",Full-time,"Business Development,Sales",,Data Analyst
PT Porto Indonesia Sejahtera,3 weeks ago,<25,Associate,Electrical/Electronic Manufacturing,"Company Description: Porto Indonesia Sejahtera is a manufacturing company focused on footwear products. Our brand - PORTO - has penetrated deeply into Indonesia and some Southeast Asian countries. With our 300 workforce, we had recently risen to be one of the market leaders in Indonesia Job Description: You will be joining our IT department, which is in charge of digitization - system development, infrastructure integration, data integration and data analysis - within PT Porto Indonesia Sejahtera  We are a fast paced team focusing on learning agility and speed We aim to apply the latest technologies to achieve our ambitious vision We provide the advantages of established corporation; best resources, personal growth and good working environment  Our IT team is composed of young and talented people, having top background with varying expertise and experience We have developers, business analysts, data analyst, mobile apps developer and IT infrastructure specialists Common traits that every team member shares are: curios, innovative, resilient and willingness to learn and move forward    Show more",Full-time,Information Technology,,Data Analyst
ICUC,9 hours ago,<25,Internship,"Marketing and Advertising,Online Media,Media Production","The purpose of this role is to provide real-world experience, learning industry technical and professional skills, abilities and activities to contribute to the Dentsu network. Job Title:Data Analyst Intern Job Description:Key responsibilities: Works in a team-based, fast-paced, detail-oriented environment Show more",Internship,Information Technology,,Data Analyst
Tjetak,1 month ago,181,Entry level,"Information Technology and Services,Computer Software,Internet","Work with data analyst and operations manager for initiative and improvement project Responsible for preparation, execution and maintenance of Improvement projects    Show more",Full-time,"Management,Manufacturing",,Data Analyst
Halodoc ID,3 weeks ago,<25,Entry level,"Information Technology and Services,Computer Software,Internet",Job Description  & requirements  Job Descriptions      Product Development Product Launch Product Management Product Strategy Product Research Show more,Full-time,"Product Management,Marketing",,Data Analyst
Halodoc ID,1 month ago,85,Entry level,"Information Technology and Services,Computer Software,Internet","Job Descriptions Build strategies to generate new potential products to elevate the user experience; Research and analysis to get in-depth user, market & industry insight    Show more",Full-time,"Product Management,Marketing",,Data Analyst
Tjetak,7 days ago,<25,Entry level,Consumer Goods,"Market research of Tjetak's product development  Responsible of Tjetak's product roadmap and revenue contribution of each of new product deployed  Work with data analyst to provide the dashboard of Tjetak's product development  Maintain product's structure, name, spesification, MOQ n etc  develop and maintain Tjetak's catalog for customer  develop and maintain Tjetak's sales playbook    Bachelor degree in Industrial Engineering /Supply Chain/Logistics/ Manufacturing or related field  Strong market research skill  Strong analytical skill  Applicable technical knowledge  Ability to teach lean within an organization and develop others in the discipline.  Strong analytical and problem solving abilities  Show more",Full-time,"Sales,Business Development",,Data Analyst
Datacell Infomedia PT,6 months ago,<25,Entry level,"Computer Hardware,Computer Software,Computer Networking",Job Descriptions Participate in product development lifecycle. Identify potential problem and its suitable solution by conferring with data analyst and developers.       Show more,Full-time,Information Technology,,Data Analyst
Schenker Petrolog Utama PT,2 days ago,59,Entry level,"Logistics and Supply Chain,Financial Services,Transportation/Trucking/Railroad","Your tasks  HRIS & Payroll Associate is responsible for transforming the existing system into new HRIS and ensure successful project go live.      At DB Schenker, you are part of a global logistics network that connects the world. A network that allows you to shape your career by encouraging you to contribute and truly make a difference. With more than 68,000 colleagues worldwide, we welcome diversity and thrive on individual backgrounds, perspectives and skills. Together as one team, we are Here to move. Show more",Full-time,Information Technology,,Data Analyst
Save The Children,3 weeks ago,<25,Associate,Hospitality,"Waliku MEAL & Data Science Consultant LEARNING NEVER STOPS - (210001UH)  SCOPE OF WORK       Waliku is an innovation project of Save the Children implemented on a pilot scale in Sumba Barat, Indonesia since 2018. Waliku addresses challenges of school-communities in low resource contexts to recognize and act on critical student absences, illnesses and concerns in a timely manner. It digitizes and simplifies daily tasks of schools – to manage the school population, communicate with parents/guardians, link with referral services, and report to school districts.  Waliku’s vision is to ensure every child meets their right to education and well-being. After two years of pilot, Waliku is transitioning its operating model from a donor-funded project to a Save the Children social venture. It will address the needs of its customers - governments and development partners – with products and services that facilitate children’s access to education, as well as health and welfare services.  COVID-19-related school closures have caused significant disruption to the education of all children, particularly those marginalized. As schools reopen, it is crucial to ensure that all children return without delay. Schools need tools like Waliku to know they have been effective in bringing students back and respond to those who have not returned. In order to be accessible to many schools, Waliku is diversifying its solution and scaling, initially in Kabupaten Sumba Barat and Bandung, followed by other locations in Eastern Indonesia and West Java.  Through this paradigm shift in Waliku’s operating model, and scaling our solution in Sumba Barat and introducing it in Bandung, Save the Children Indonesia seeks a Waliku Monitoring, Evaluation, Accounting and Learning (MEAL) Data Analyst for managing Waliku data for both districts.  S/he will help the Waliku Coordinator with developing tools for school mapping exercises, formative assessments, and data collection, as well as support MEAL plan development, Waliku Dashboard and tools development for district and community stakeholders. S/he will adhere to child safeguarding and data privacy policies of Waliku, Save the Children and Government of Indonesia. A MEAL Data Analyst will support the Waliku Global Team’s efforts with making Waliku a more customizable solution and in digitally linking schools with other service providers in the community. The role of this person will be to contribute to the upgrades in the database, maintain a district education dashboard, and develop tools and dashboards that allow links between schools, clinics and child welfare providers. Additionally, this person will develop a dashboard for visualizing absence information for schools that use a simpler solution called Waliku Remote.        March- April 2021    Finalize: March 2020, Maintain: April 2020 onwards    March-June 2020    March 2020 onwards    May- June 2020    March onwards    March onwards    March onwards    March onwards    April- December 2021                                            Show more",Full-time,Information Technology,,Data Analyst
Lazada,2 weeks ago,<25,Associate,Logistics and Supply Chain,Department  Supply Chain & Logistics  Location:        Show more,Full-time,"Research,Analyst,Information Technology",,Data Analyst
PT JAC Indonesia,3 weeks ago,79,Director,Management Consulting,"Company Description: JAC Recruitment Indonesia is an international recruitment consultancy, started in UK as a part of Tazaki Group. JAC Recruitment operates in 11 countries with 26 offices in London, Singapore, Japan, Malaysia, Indonesia, Thailand, China, Korea, Hong Kong, Vietnam and India. JAC Recruitment Indonesia started in 2002 in Jakarta, and then expanded offices in Bekasi, Karawang and Surabaya. With more than 100 consultants, we are committed for our clients and candidates satisfaction by connecting the right positions to the right people Job Description: Show more",Full-time,"Management,Manufacturing",,Data Analyst
PowerCommerce.Asia,2 weeks ago,42,Mid-Senior level,Information Technology and Services,"PowerCommerce.Asia is the Leading E-commerce Omnichannel Enabler and Supply Chain Technology Solution – Services Company, open vacancy for position :  Ecommerce Operation and Supply Chain Analyst  Requirements: Bachelor degree from reputable university, statistics / mathematics preferred 3+ years working experience as a data analyst in ecommerce and supply chain industry Ability to use database tools such as SQL Ability to use tools statistical analysis languages such as Matlab Ability to use data visualization tools such as Tableau or Power BI Advance Microsoft Office skills, especially Microsoft Excel Ability to collect, process and analyze existing databases and provide recommendations for solutions Excellent communication and presentation skills Strong in number and analytical thinking  Placement : Jakarta Office  Send your latest CV to : hrd@powercommerce.asia, subject email ""Ecommerce Operation and Supply Chain Analyst""  More Information : Phone/WA 08170011025 or www.powercommerce.asia Show more",Full-time,Information Technology,,Data Analyst
Ninja Van,3 weeks ago,<25,Entry level,Logistics and Supply Chain,"Ninja Van is a tech-enabled logistics company on a mission to provide hassle-free delivery services for businesses of all sizes across Southeast Asia. Launched in 2014, we started operations in Singapore and have become the region's largest and fastest growing last-mile logistics company, partnering with over 35,000 merchants and delivering more than 1,000 parcels every minute across six countries.  At our core, we are a technology company that is disrupting a massive industry with cutting-edge software and operational concepts. Powered by algorithm-based optimisation, dynamic routing, end-to-end tracking and a data-driven approach, we provide best-of-class delivery services that delight both the shippers and end customers. But we are just getting started! We have much room for improvement and many ideas that will further shape the industry.  Our Fleet Support Team has exciting role at Ninja Van Indonesia with opportunity to contribute by new ideas how to develop analytical to drive performance then how do We support our core business to deliver satisfaction to our customer.  The Fleet Support Data Assistant Manager lead team that manage strategic reporting, initiatives that can give visibility about how de We perform so far, this is key role working directly with BI, Core Ops, then Senior Management.  Again If you love Great empowerment culture, seek for challenge and autonomy , as be part of problem solver then We would like to ask you to join with our adventure.          By applying to the job, you acknowledge that you have read, understood and agreed to our Privacy Policy Notice (the “Notice”) and consent to the collection, use and/or disclosure of your personal data by Ninja Logistics Pte Ltd (the “Company”) for the purposes set out in the Notice. In the event that your job application or personal data was received from any third party pursuant to the purposes set out in the Notice, you warrant that such third party has been duly authorised by you to disclose your personal data to us for the purposes set out in the the Notice.  Show more",Full-time,Other,,Data Analyst
Farmacare,22 hours ago,<25,Entry level,,"Tanggung jawab: Menyusun laporan-laporan operasional yang diperlukan, berdasarkan data yang tersedia di sistem Bekerja sama dengan desainer grafis untuk menyajikan laporan-laporan dalam bentuk yang mudah dicerna Bekerja sama dengan customer success manager untuk melakukan analisa data melalui aplikasi spreadsheet untuk menggali temuan-temuan yang bisa digunakan untuk pengembangan apotek Bekerja sama dengan back-end developer untuk membangun sistem untuk melakukan otomasi pelaporan Show more",Internship,Information Technology,,Data Analyst
Qasir,2 days ago,<25,Associate,"Information Technology and Services,Computer Software,Internet",Qasir is the Point of Sales with free basic features and affordable premium features. We are looking for Senior Business Intelligence to be part of #PanduJuang to help micro-businesses through providing affordable technology.      Show more,Full-time,"Business Development,Sales",,Senior Business Intelligence
Agoda,2 days ago,<25,Associate,Internet,"About Agoda  Agoda is an online travel booking platform for accommodation, flights, and more. We build and deploy cutting edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ talents coming from 90+ different nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enabling our customers to experience the world.    The Performance Marketing Team of Agoda is a world leader in online marketing. This department is highly data-driven and focused on developing at-scale marketing programs that improve the lifetime value of Agoda customers through measurable marketing programs and channels. The team is a blend of the best analysts, marketing strategists, and data scientists in the world. The marketing leadership at Agoda have deep experience in data science, product, strategy, and other marketing fields and have built an organization that thrives on data, creative ideas, and technology. The Performance Marketing Team also fosters a great learning environment. You will be able to learn and grow by working closely with experts from a variety of backgrounds from all over the world.               At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.  We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .  To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.  Show more",Full-time,Information Technology,,Senior Business Intelligence
Michael Page,1 month ago,<25,Associate,Consumer Goods,"Senior Data Analytics - Ecommerce Empowered to make key business decisions Dynamic and agile environment towards success  About Our Client  Our client is a leading international e-commerce and classified platform, one of the longest standing and most well known with no introduction needed. Backed by renowned investors, they are looking not only to dominate the Indonesia market. Recognised as one of the fastest-growing companies in Indonesia, with renowned brand, our client is ready to bring their business to the next level. They classified themselves as a tech company, and ready to bring in smart, energetic individuals to be part of their dynamic team.               Show more",Full-time,Information Technology,,Senior Business Intelligence
ZALORA Group,1 year ago,>200,Associate,"Marketing and Advertising,Internet,Retail",Superior Customer Experience drives revenue growth. Satisfied customers are more likely to return to a company and recommend it to their peers. This is why customer-centricity is a core pillar at ZALORA.                                                      Show more,Full-time,"Business Development,Sales",,Senior Business Intelligence
ITB Career Center,2 months ago,<25,Associate,"Information Technology and Services,Computer Software,Retail","Job Description  The Senior Data Analyst oversees the activities of the junior data analyst personnel and reports directly to the Head Data Analyst. The Senior Data Analyst develops business solutions through the constant modification of the existing business intelligence solutions.  The Senior Data Analyst oversees and conducts the conversion of data into insights that will lead to informed business decisions. He/she works directly with stakeholders and the business’s top management and executives within the assigned departments. The Senior Data Analyst will have to handle multiple simultaneous tasks, prioritize work, and remain functional under pressure, and aggressive timelines.  Responsibility     Requirement      Show more",Full-time,Information Technology,,Senior Business Intelligence
Soyaka AI,2 months ago,<25,Not Applicable,Internet,"Requirements : Bachelor’s Degree in Computer Science, Statistics, Business Studies, or related field 3+ years of experience in business intelligence or data science field Firm understanding of statistics and databases. Strong analytical and critical thinking skills.  Responsible : General analysis on each new feature/product that has been released and to be released Deep analytics on customer behavior to give strategic insights for businesses to make decision Collaborating with coworkers and management to implement improvements. Provide visualizations to track company’s performance Evaluating the effectiveness of implemented strategies. Show more",Full-time,Information Technology,,Senior Business Intelligence
Agoda,5 days ago,26,Associate,Internet,"About Agoda  Agoda is an online travel booking platform for accommodation, flights, and more. We build and deploy cutting edge technology that connects travelers with more than 2.5 million accommodations globally. Based in Asia and part of Booking Holdings, our 4,000+ talents coming from 90+ different nationalities foster a work environment rich in diversity, creativity, and collaboration. We innovate through a culture of experimentation and ownership, enabling our customers to experience the world.    The Performance Marketing Team of Agoda is a world leader in online marketing. This department is highly data-driven and focused on developing at-scale marketing programs that improve the lifetime value of Agoda customers through measurable marketing programs and channels. The team is a blend of the best analysts, marketing strategists, and data scientists in the world. The marketing leadership at Agoda have deep experience in data science, product, strategy, and other marketing fields and have built an organization that thrives on data, creative ideas, and technology. The Performance Marketing Team also fosters a great learning environment. You will be able to learn and grow by working closely with experts from a variety of backgrounds from all over the world.               At Agoda, we pride ourselves on being a company represented by people of all different backgrounds and orientations. We prioritize attracting diverse talent and cultivating an inclusive environment that encourages collaboration and innovation. Employment at Agoda is based solely on a person’s merit and qualifications. We are committed to providing equal employment opportunity regardless of sex, age, race, color, national origin, religion, marital status, pregnancy, sexual orientation, gender identity, disability, citizenship, veteran or military status, and other legally protected characteristics.  We will keep your application on file so that we can consider you for future vacancies and you can always ask to have your details removed from the file. For more details please read our privacy policy .  To all recruitment agencies: Agoda does not accept third party resumes. Please do not send resumes to our jobs alias, Agoda employees or any other organization location. Agoda is not responsible for any fees related to unsolicited resumes.  Show more",Full-time,Information Technology,,Senior Business Intelligence
"Love, Bonito Indonesia",2 weeks ago,<25,Associate,Warehousing,"You’ll have a front seat experience in impacting women across the globe through fashion and data. As the Senior Data Analyst, you will be a strategic business partner and provide direction to teams on using data from internal and external sources to provide insights to the management and business leads. You’ll be responsible for collaborating with key leads and other functional analysts to define data and analytic needs to the business. You’re a storyteller when it comes to the numbers and you’ll play a pivotal role in championing a data-driven approach in our decision-making.  Main Responsibilities          What You Shoud Be          Associate    Data    1 Slot    Bachelor's Degree / S1    Negotiable    Fulltime    Jl. Minangkabau No.17a, RT.6/RW.8, Ps. Manggis, Setiabudi  South Jakarta City, Jakarta 12970, Indonesia  Phone: +********    We pride ourselves as the best and largest vertically integrated, omni-channel women’s fashion brand in the region. Founded in 2010, we’ve grown to 150 people strong, proudly headquartered in Singapore with country offices in Indonesia and Malaysia and an omni-channel presence across these 3 markets. In addition to our retail franchise in Cambodia, we ship internationally to 15 markets (Hong Kong, China, Philippines and Australia, New Zealand, US, Canada, Macau, Japan, Korea, Vietnam, Thailand, Myanmar, Cambodia & Brunei).  We are taking our definition of new female retail global, with our sights set on becoming the most thoughtful brand for the everyday woman.  How to apply?  You can send your CV to     Senior Data Analyst - Business Intelligence -  Show more",Full-time,Information Technology,,Senior Business Intelligence
